Date,Portfolio_Value
2019-10-30,452363.70727824746
2019-10-31,451582.1964850086
2019-11-01,459641.8305155283
2019-11-04,461296.84084713657
2019-11-05,458500.07546231884
2019-11-06,457840.09208567947
2019-11-07,446233.4166546553
2019-11-08,443870.3493054172
2019-11-11,435647.06429457077
2019-11-13,444437.47845573426
2019-11-14,443555.39931739523
2019-11-15,444374.44462375436
2019-11-18,449195.086235825
2019-11-19,449289.50548066833
2019-11-20,449447.0900606181
2019-11-21,436812.83951119496
2019-11-22,439900.5329219488
2019-11-25,435174.3982234726
2019-11-26,436317.74332545284
2019-11-27,431846.72780059726
2019-11-28,435140.26197014
2019-11-29,432859.4430316753
2019-12-02,429319.97413312417
2019-12-03,435774.9708400632
2019-12-04,439463.6014793837
2019-12-05,439617.25522166904
2019-12-06,444621.6156717861
2019-12-09,441610.58516034484
2019-12-10,445627.81807222974
2019-12-11,433916.1838935516
2019-12-12,439601.9687044024
2019-12-13,451381.1256697379
2019-12-16,450257.3860037498
2019-12-17,450839.8229726296
2019-12-18,463588.76724819804
2019-12-19,460464.4835614958
2019-12-20,463265.52855508775
2019-12-23,459923.3431309821
2019-12-24,457132.7343526288
2019-12-26,458769.98282296513
2019-12-27,455577.2458995034
2019-12-30,451090.7895675327
2019-12-31,452321.84687472705
2020-01-01,450245.6296109812
2020-01-02,443824.7867666528
2020-01-03,434219.77050733176
2020-01-06,431907.03028180415
2020-01-07,428663.26713494194
2020-01-08,438535.9579930439
2020-01-09,438436.8268604269
2020-01-10,437317.85773396335
2020-01-13,440622.25875050644
2020-01-14,439023.28923841845
2020-01-15,440293.8296198001
2020-01-16,436113.396555801
2020-01-17,426532.5432453694
2020-01-20,422946.66236347234
2020-01-21,416415.82885248674
2020-01-22,414345.02815387055
2020-01-23,412917.1515207549
2020-01-24,410241.1837141914
2020-01-27,400764.96698056813
2020-01-28,395415.4923409365
2020-01-29,385769.593114416
2020-01-30,377192.4991298977
2020-01-31,366888.34097176435
2020-02-03,378269.04942617635
2020-02-04,382836.6674711146
2020-02-05,381344.91871346126
2020-02-06,382814.0679842631
2020-02-07,382228.5877988055
2020-02-10,386794.8191917609
2020-02-11,391467.4607851607
2020-02-12,389085.43882760406
2020-02-13,392537.64532245806
2020-02-14,395961.4699099964
2020-02-17,395669.0988558835
2020-02-18,398300.9877404328
2020-02-19,391128.6634275689
2020-02-20,383611.9508794536
2020-02-24,376032.36784584407
2020-02-25,369554.52313839016
2020-02-26,366404.68769059045
2020-02-27,351180.2080157986
2020-02-28,347876.28235507396
2020-03-02,354933.4020510703
2020-03-03,345037.39246993023
2020-03-04,351968.9944550325
2020-03-05,339306.4998615059
2020-03-06,297433.79990952316
2020-03-09,302566.9888895293
2020-03-11,278396.9035918178
2020-03-12,291617.5977956808
2020-03-13,264741.6806743744
2020-03-16,258748.89812326513
2020-03-17,250153.2835755895
2020-03-18,255420.39100157304
2020-03-19,283322.64875593194
2020-03-20,254879.05227625367
2020-03-23,266097.32566635846
2020-03-24,305261.62545727583
2020-03-25,312351.1446749602
2020-03-26,312175.3592546617
2020-03-27,301877.8887464562
2020-03-30,326281.2683682375
2020-03-31,305313.6601122003
2020-04-01,295566.80412917165
2020-04-03,325437.65021852055
2020-04-07,322822.8283233662
2020-04-08,325199.5705064747
2020-04-09,325787.3294938484
2020-04-13,326630.6930641408
2020-04-15,332854.5228812906
2020-04-16,344413.20989088464
2020-04-17,357485.21513899
2020-04-20,346486.6210920462
2020-04-21,351219.7879920934
2020-04-22,371712.46507448587
2020-04-23,360057.0629945668
2020-04-24,363668.5745884602
2020-04-27,361534.58606660215
2020-04-28,379273.6280462651
2020-04-29,401108.95947353746
2020-04-30,377675.92277095036
2020-05-04,377675.92277095036
2020-05-05,373303.2331244829
2020-05-06,372770.61270343704
2020-05-07,377956.1548946607
2020-05-08,382833.38715406496
2020-05-11,385496.2942745157
2020-05-12,389140.13081881974
2020-05-13,379699.22296520346
2020-05-14,374248.459050327
2020-05-15,380903.7484682236
2020-05-18,383200.6867354297
2020-05-19,389945.9771718894
2020-05-20,388351.18395080144
2020-05-21,371319.37716967956
2020-05-22,373424.48984069354
2020-05-26,406786.4391259939
2020-05-27,416992.78817778744
2020-05-28,419816.1273716279
2020-05-29,435697.38906963624
2020-06-01,447448.70771309786
2020-06-02,458301.02496519854
2020-06-03,468469.83989163896
2020-06-04,481062.02103700367
2020-06-05,486581.30261415284
2020-06-08,484387.5294651806
2020-06-09,486619.84298293013
2020-06-10,470422.1488293589
2020-06-11,477294.45567866915
2020-06-12,475047.8518327179
2020-06-15,492049.6895500487
2020-06-16,492530.75885332085
2020-06-17,490197.6898194407
2020-06-18,484464.14099748456
2020-06-19,489457.9284698431
2020-06-22,501247.53474625316
2020-06-23,496726.4401755653
2020-06-24,500864.66921696987
2020-06-25,498153.4341954141
2020-06-26,507395.58527053514
2020-06-29,510307.82627985254
2020-06-30,512734.2069591769
2020-07-01,511044.1423972898
2020-07-02,515164.32967677683
2020-07-03,516042.4821673836
2020-07-06,536407.2852884702
2020-07-07,528920.6411785972
2020-07-08,536642.6639941472
2020-07-09,541024.6808736041
2020-07-10,540452.4853753137
2020-07-13,528754.8286149764
2020-07-14,543836.3952282241
2020-07-15,543659.48991353
2020-07-16,563802.6550127649
2020-07-17,565634.5214886613
2020-07-20,590254.3733778993
2020-07-21,583929.6097860876
2020-07-22,586029.2222903853
2020-07-23,570416.7290281388
2020-07-24,535606.0779736867
2020-07-27,526044.3526735028
2020-07-28,524475.5952043289
2020-07-29,525270.4552165004
2020-07-30,525708.4207841752
2020-07-31,520327.0612844801
2020-08-03,557001.1368561768
2020-08-04,559427.3985223494
2020-08-05,571460.353678287
2020-08-06,568303.496286412
2020-08-07,568572.437165802
2020-08-10,574515.4348380871
2020-08-11,573733.4459962031
2020-08-12,572236.8103488983
2020-08-13,561897.5388136785
2020-08-14,560031.8908896723
2020-08-17,574569.0284710539
2020-08-18,578094.6693185464
2020-08-19,568738.0000861731
2020-08-20,564615.5954100377
2020-08-21,568385.439637567
2020-08-24,562805.9220916625
2020-08-25,565528.7990712414
2020-08-26,558464.0587601605
2020-08-27,559932.5612341226
2020-08-28,550552.4861612198
2020-08-31,547893.8892033786
2020-09-01,558643.001283002
2020-09-02,554416.8540518123
2020-09-03,545268.8944523712
2020-09-04,546686.3733174208
2020-09-07,550053.801167861
2020-09-08,538194.7083606166
2020-09-09,545330.0236716256
2020-09-10,539379.4239088123
2020-09-11,558029.8640208244
2020-09-14,560339.7728355839
2020-09-15,571347.4690500501
2020-09-16,576623.2736964392
2020-09-17,562628.1433314687
2020-09-18,566979.1790934098
2020-09-21,555744.349459997
2020-09-22,560683.0849340669
2020-09-23,548216.823216182
2020-09-24,569364.8613658224
2020-09-25,573127.5636369461
2020-09-28,577667.2688675585
2020-09-29,586392.8852334011
2020-09-30,610278.3912082589
2020-10-01,614358.0933478978
2020-10-05,626707.8736448974
2020-10-06,630083.4386691524
2020-10-07,638069.5931497167
2020-10-08,661122.3857567492
2020-10-09,665129.6697870311
2020-10-12,652289.6106671352
2020-10-13,669656.5648074362
2020-10-14,643647.2909366845
2020-10-15,652042.7181722564
2020-10-16,654326.104187962
2020-10-19,665416.7763564409
2020-10-20,649965.4472384024
2020-10-21,648933.148330774
2020-10-22,652735.1814883169
2020-10-23,653075.1738621884
2020-10-26,638972.3181403142
2020-10-27,630596.1152669174
2020-10-28,636726.1979849982
2020-10-29,628284.6344814798
2020-10-30,574141.17814874
2020-11-02,568920.736256799
2020-11-03,585733.1803672785
2020-11-04,591114.2764095763
2020-11-05,595799.2408223125
2020-11-06,608542.5432520979
2020-11-09,618587.542947447
2020-11-10,636418.538756213
2020-11-11,630937.7271006388
2020-11-12,636163.6977615331
2020-11-13,638043.7535556463
2020-11-14,635159.9275737702
2020-11-17,633232.0223389124
2020-11-18,628754.9808711009
2020-11-19,632538.584336024
2020-11-20,649588.3724374439
2020-11-23,649702.3682345888
2020-11-24,642229.8151131088
2020-11-25,643812.4429616872
2020-11-26,641171.0843236132
2020-11-27,649510.536277052
2020-12-01,654929.5138592719
2020-12-02,656837.9236427416
2020-12-03,651052.2925223467
2020-12-04,654881.5207855619
2020-12-07,666770.5028862279
2020-12-08,679402.2696998876
2020-12-09,672996.7990460206
2020-12-10,672827.695227409
2020-12-11,676235.7438229034
2020-12-14,670457.8746915838
2020-12-15,671204.8633707756
2020-12-16,667462.2677224642
2020-12-17,653365.8135251972
2020-12-18,624749.8654875123
2020-12-21,623783.6540323659
2020-12-22,626086.5839498166
2020-12-23,642287.4994380941
2020-12-24,645234.5415372192
2020-12-28,640966.93128123
2020-12-29,642722.2622059337
2020-12-30,639437.013710531
2020-12-31,640145.6407486966
2021-01-01,641224.6020634805
2021-01-04,633252.9149365149
2021-01-05,616552.7650065415
2021-01-06,612774.4064097434
2021-01-07,619437.5280629196
2021-01-08,622465.865170597
2021-01-11,626236.95603777
2021-01-12,635950.5063597087
2021-01-13,632293.6302531249
2021-01-14,620523.2123567159
2021-01-15,627482.995447496
2021-01-18,637746.2935288579
2021-01-19,649859.7712201355
2021-01-20,649981.1320133662
2021-01-21,636208.4436457086
2021-01-22,644714.4092040326
2021-01-25,632988.7611741662
2021-01-27,620922.580488197
2021-01-28,609473.8931037117
2021-01-29,614958.6661058496
2021-02-01,620006.3894753357
2021-02-02,621567.8500811924
2021-02-03,619523.4697446289
2021-02-04,619346.3243589638
2021-02-05,628264.2823391604
2021-02-08,629777.4423391303
2021-02-09,635620.7797135005
2021-02-10,661827.2899514545
2021-02-11,665868.122238205
2021-02-12,665791.767865318
2021-02-15,656005.5673461193
2021-02-16,663570.5808045326
2021-02-17,650102.7473543338
2021-02-18,643745.0386595709
2021-02-19,647467.5973589495
2021-02-22,652416.9159972467
2021-02-23,685397.2393353597
2021-02-24,685375.9576025093
2021-02-25,652362.2495248294
2021-02-26,662778.6166873997
2021-03-01,665120.9997093403
2021-03-02,673031.0630448286
2021-03-03,660946.1330719386
2021-03-04,651919.4704378458
2021-03-05,651681.1572696595
2021-03-08,661217.0206076797
2021-03-09,665551.4473904221
2021-03-10,651987.2570876693
2021-03-12,653735.4410077777
2021-03-15,663095.4743077331
2021-03-16,648811.3707062536
2021-03-17,634211.7113490338
2021-03-18,643035.5134514055
2021-03-19,636982.0141070859
2021-03-22,644734.2647740179
2021-03-23,623954.0469685469
2021-03-24,628406.8573417148
2021-03-25,636103.2266564581
2021-03-26,662719.4449634044
2021-03-30,652242.6420494189
2021-03-31,649229.5790428964
2021-04-01,623944.1273538894
2021-04-05,618100.5837165135
2021-04-06,630934.4509547951
2021-04-07,629896.7676178805
2021-04-08,618428.2155920538
2021-04-09,588227.7385768315
2021-04-12,612311.6909911537
2021-04-13,628258.4714419014
2021-04-15,625026.5637848604
2021-04-16,629089.4742953443
2021-04-19,628907.5889370869
2021-04-20,630644.2592548839
2021-04-22,629966.2140568738
2021-04-23,641048.0928769152
2021-04-26,647498.2334905019
2021-04-27,645865.0638859678
2021-04-28,654515.1467423592
2021-04-29,627756.6472031443
2021-04-30,626690.4977392323
2021-05-03,616192.0286705181
2021-05-04,625476.1033496932
2021-05-05,628658.4373870202
2021-05-06,634873.6574677577
2021-05-07,633049.6701307961
2021-05-10,635333.8072385003
2021-05-11,628760.7111884642
2021-05-12,636697.7329306928
2021-05-14,640505.5094949657
2021-05-17,644480.3258021384
2021-05-18,643037.4282555018
2021-05-19,631836.5133663559
2021-05-20,660279.7484574222
2021-05-21,657135.5446785514
2021-05-24,663740.7094016278
2021-05-25,666073.5551279384
2021-05-26,668598.8667699799
2021-05-27,660945.8710385164
